"ts";"duration"
"2017-02-03 11:37:19.000000";"20064"
"2017-02-03 11:37:48.000000";"53514"
"2017-02-03 11:38:42.000000";"3410"
"2017-02-03 11:38:54.000000";"26041"
"2017-02-03 11:39:20.000000";"3029"
"2017-02-03 11:39:36.000000";"2996"
"2017-02-03 11:39:45.000000";"18782"
"2017-02-03 11:40:04.000000";"1534"
"2017-02-03 11:40:13.000000";"1171"
"2017-02-03 11:40:20.000000";"2901"
"2017-02-03 11:40:20.000000";"2901"
"2017-02-03 11:40:23.000000";"21536"
"2017-02-03 11:40:45.000000";"4818"
"2017-02-03 11:40:50.000000";"12943"
"2017-02-03 11:41:12.000000";"11370"
"2017-02-03 11:41:23.000000";"23242"
"2017-02-03 11:42:14.000000";"28143"
"2017-02-03 11:42:42.000000";"4291"
"2017-02-03 11:42:59.000000";"15537"
"2017-02-03 11:43:15.000000";"26586"
"2017-02-03 11:43:47.000000";"3152"
"2017-02-03 11:43:53.000000";"1189"
"2017-02-03 11:43:57.000000";"2419"
"2017-02-03 11:44:18.000000";"13886"
"2017-02-03 11:44:34.000000";"62541"
"2017-02-03 11:45:36.000000";"84703"
"2017-02-03 11:47:04.000000";"44591"
"2017-02-03 11:47:51.000000";"5513"
"2017-02-03 11:48:02.000000";"4514"
"2017-02-03 11:48:07.000000";"2706"
"2017-02-03 11:48:10.000000";"9430"
"2017-02-03 11:48:26.000000";"7400"
"2017-02-03 11:48:33.000000";"4225"
"2017-02-03 11:48:38.000000";"5755"
"2017-02-03 11:48:43.000000";"4705"
"2017-02-03 11:49:08.000000";"3577"
"2017-02-03 11:49:27.000000";"3920"
"2017-02-03 11:49:33.000000";"2418"
"2017-02-03 11:49:36.000000";"1853"
"2017-02-03 11:49:44.000000";"4268"
"2017-02-03 11:49:56.000000";"2235"
"2017-02-03 11:49:58.000000";"3328"
"2017-02-03 11:50:02.000000";"14710"
"2017-02-03 11:50:17.000000";"7409"
"2017-02-03 11:50:24.000000";"1640"
"2017-02-03 11:50:31.000000";"11419"
"2017-02-03 11:50:43.000000";"6008"
"2017-02-03 11:50:49.000000";"2506"
"2017-02-03 11:50:52.000000";"5430"
"2017-02-03 11:51:04.000000";"1661"
"2017-02-03 11:51:10.000000";"4790"
"2017-02-03 11:51:18.000000";"1836"
"2017-02-03 11:51:23.000000";"3345"
"2017-02-03 11:51:27.000000";"2790"
"2017-02-03 11:51:31.000000";"27147"
"2017-02-03 11:51:59.000000";"2729"
"2017-02-03 11:52:02.000000";"1429"
"2017-02-03 11:52:09.000000";"8547"
"2017-02-03 11:52:18.000000";"22882"
"2017-02-03 11:52:49.000000";"1308"
"2017-02-03 11:53:13.000000";"7233"
"2017-02-03 11:53:30.000000";"4341"
"2017-02-03 11:53:58.000000";"2747"
"2017-02-03 11:54:12.000000";"8747"
"2017-02-03 11:54:21.000000";"6912"
"2017-02-03 11:55:38.000000";"5980"
"2017-02-03 11:56:18.000000";"3469"
"2017-02-03 11:56:21.000000";"12461"
"2017-02-03 11:57:02.000000";"51203"
"2017-02-03 11:57:53.000000";"12487"
"2017-02-03 11:58:06.000000";"3440"
"2017-02-03 11:58:10.000000";"17872"
"2017-02-03 11:58:30.000000";"1929"
"2017-02-03 11:58:32.000000";"8432"
"2017-02-03 11:59:00.000000";"3271"
"2017-02-03 11:59:08.000000";"2477"
"2017-02-03 11:59:22.000000";"1250"
"2017-02-03 11:59:29.000000";"8098"
"2017-02-03 11:59:39.000000";"2698"
"2017-02-03 11:59:50.000000";"12690"
"2017-02-03 12:00:02.000000";"2032"
"2017-02-03 12:00:05.000000";"8465"
"2017-02-03 12:00:34.000000";"1735"
"2017-02-03 12:00:44.000000";"2291"
"2017-02-03 12:00:49.000000";"6376"
"2017-02-03 12:02:34.000000";"19674"
"2017-02-03 12:02:58.000000";"19003"
"2017-02-03 12:03:24.000000";"7887"
"2017-02-03 12:03:32.000000";"14414"
"2017-02-03 12:03:48.000000";"8165"
"2017-02-03 12:03:56.000000";"5702"
"2017-02-03 12:04:05.000000";"32990"
"2017-02-03 12:04:38.000000";"26163"
"2017-02-03 12:05:04.000000";"21444"
"2017-02-03 12:05:26.000000";"4199"
"2017-02-03 12:05:32.000000";"20106"
"2017-02-03 12:05:52.000000";"5327"
"2017-02-03 12:06:19.000000";"4510"
"2017-02-03 12:06:25.000000";"3404"
"2017-02-03 12:06:29.000000";"27138"
"2017-02-03 12:06:59.000000";"2174"
"2017-02-03 12:07:01.000000";"11672"
"2017-02-03 12:07:38.000000";"12448"
"2017-02-03 12:07:56.000000";"1116"
